id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
elrond-egld,45,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,1357906592.7247602975039482,23867333.5467134945443852,56.1476676943168819,-5.9030085295758594,57.4288675308143756,https://explorer.elrond.com/
hedera-hashgraph,46,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,1251691820.6419460191630364,57042108.3193083950974589,0.0843870025421513,-3.9403411530644627,0.0844996819387462,https://hash-hash.info/
mina,47,MINA,Mina,1029351079.8400393000000000,0.0,1231164742.6507704004017160,36221528.2204180014815177,1.1960591160424030,-8.0123416600302457,1.2270635404737237,https://minaexplorer.com/
flow,48,FLOW,Flow,1480895188.0000000000000000,0.0,1188564835.1421679823262864,47477446.3080236658944589,0.8025988907070228,-5.4677673861001624,0.8120171001054390,https://flowscan.org/
fantom,49,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,1172636542.4133321107747701,62739105.2688471281561742,0.4182558040562660,-6.5940752580419709,0.4268800923111634,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
theta,50,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,1145061630.4931262000000000,13174217.4994790431585788,1.1450616304931262,-6.1077187417033996,1.1675575101652167,https://explorer.thetatoken.org/
the-sandbox,51,SAND,The Sandbox,2118731926.2233226000000000,3000000000.0000000000000000,1078348014.7522207357558647,27181949.9704345302428244,0.5089591568454794,-4.9769963563279413,0.5141715469891765,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
axie-infinity,52,AXS,Axie Infinity,132040366.9694730500000000,270000000.0000000000000000,1066816664.1597338486342219,22071464.5721585843170342,8.0794736385909586,-3.3339213789746914,8.0484768689680354,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
kucoin-token,53,KCS,KuCoin Token,96641044.2890287500000000,170118638.0000000000000000,966763623.5295779710607968,1490478.1037297593850284,10.0036545614949503,-1.0674037435532527,10.0371015740913616,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
wemix,54,WEMIX,WEMIX,351739752.5264629000000000,0.0,941285664.6446905819955031,6061235.1711062993263420,2.6760855373430491,-2.0391708745886003,2.6815693624789213,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
ftx-token,55,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,933910558.8304613778763000,48546961.4887751456718942,2.8395392573580768,-1.8794233873552224,2.8801777265685663,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
binance-usd,56,BUSD,BUSD,925412084.9081714000000000,0.0,927571192.0472404225523637,19942506.3676877101892049,1.0023331304769845,0.0339514007380087,1.0297193816865518,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
helium,57,HNT,Helium,159639760.5168877000000000,223000000.0000000000000000,916798601.2044447753682016,1626581.8427742438402445,5.7429214265669112,-6.9001004787834546,5.8772806943370110,https://explorer.helium.com/
tezos,58,XTZ,Tezos,966020947.4620540000000000,0.0,902475560.3143432453691639,33374925.9094120856825945,0.9342194521613033,-4.0521186600247413,0.9390011224613653,https://tzkt.io/
kava,59,KAVA,Kava,1082861862.0000000000000000,0.0,870810895.6424518754709372,23585480.5309136954775528,0.8041754227396106,-4.6771418610630794,0.8067269982210778,https://www.mintscan.io/kava
decentraland,60,MANA,Decentraland,1893095370.6427295000000000,0.0,868555410.0919993201134038,28715373.5168389590613487,0.4588017188997266,-3.3902934561049317,0.4607311655289299,https://etherscan.io/token/decentraland
neo,61,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,867368634.8482800686419081,21182114.8379181100743844,12.2963284555747751,-4.6558965792953078,12.3233909470507569,https://neotracker.io
eos,62,EOS,EOS,1113408903.4283000000000000,0.0,833352331.1661431376719140,56174094.9712173651685814,0.7484692538385188,-2.9509090456493665,0.7477186302592835,https://bloks.io/
oasis-network,63,ROSE,Oasis Network,6713599876.0000000000000000,10000000000.0000000000000000,819092810.9220433009258892,20821294.7288784438588936,0.1220050086467267,-4.9001102781064616,0.1226850469055935,https://www.oasisscan.com/
synthetix-network-token,64,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,804515907.0570568249718851,40580401.2687121079803220,3.4422691736425433,-5.1416954327644094,3.4154546623500564,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
iota,65,IOTA,IOTA,3076403570.0000000000000000,4600000000.0000000000000000,774478393.0210213198088420,6291136.6304475244497902,0.2517479827983106,-3.6138604782813514,0.2536104213982774,https://thetangle.org/
pancakeswap,66,CAKE,PancakeSwap,249463718.0892169500000000,450000000.0000000000000000,737704892.5257171091485282,28204233.5657029681901871,2.9571630623331287,-8.6864141827873633,3.0857617743417202,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
wootrade,67,WOO,WOO Network,1802876214.3393826000000000,0.0,731306857.1235439874866631,19670085.0482334102893506,0.4056334269136234,-8.1906974966665628,0.4166235272368455,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
gala,68,GALA,Gala,27300933866.8487320000000000,50000000000.0000000000000000,724165741.0374355420820402,61926996.9733612750518450,0.0265253102538292,-4.8423184218255069,0.0266740453641707,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
akash-network,69,AKT,Akash Network,224460817.2096270000000000,388539008.0000000000000000,698576160.5617453051995659,861048.1099273522115687,3.1122410104625769,10.0111143245182272,2.8554507269744835,https://akash.bigdipper.live/
klaytn,70,KLAY,Klaytn,3479538568.2755485000000000,0.0,690520335.9044192978410544,3757171.4866448374328817,0.1984516976475532,-6.4147080499958817,0.2016173329582656,https://scope.klaytn.com/blocks
ecash,71,XEC,eCash,19599042173092.0000000000000000,21000000000000.0000000000000000,684706048.8853325734932528,5272298.5394564997218143,0.0000349356893484,-0.8844767293734460,0.0000342741961723,https://explorer.bitcoinabc.org/
conflux-network,72,CFX,Conflux,3645803066.4100000000000000,0.0,648342411.6669761054517489,23501798.9710789144536350,0.1778325378132382,-4.7566144861132420,0.1782383539838072,http://www.confluxscan.io/
xinfin-network,73,XDC,XinFin Network,12293293518.5500000000000000,0.0,640962617.3171377047865029,1126725.7354654156150608,0.0521392104036201,-2.6429640902094739,0.0528961406582146,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
frax-share,74,FXS,Frax Share,76072769.3766891500000000,0.0,629707748.7429921823955567,1206709.0721040329624521,8.2777024407363361,-4.0989250108711490,8.2410517877720054,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
